owner,repo,full_name,stargazers_count,subscribers_count,open_issues_count,forks_count,fork,html_url_repo,watchers_count,commit_id,commit_message,badge
gadenbuie,oceanic-eighties,gadenbuie/oceanic-eighties,11,2,0,5,FALSE,https://github.com/gadenbuie/oceanic-eighties,11,NA,NA,NA
gadenbuie,pagedown-cheatsheet,gadenbuie/pagedown-cheatsheet,4,2,0,0,FALSE,https://github.com/gadenbuie/pagedown-cheatsheet,4,NA,NA,NA
gadenbuie,pkgDocsWorkflowTest,gadenbuie/pkgDocsWorkflowTest,0,2,1,0,FALSE,https://github.com/gadenbuie/pkgDocsWorkflowTest,0,ea84ec2d65abc5b1c640e54d029111f2b9832402,test rmarkdon situation,[![](https://github.com/gadenbuie/pkgDocsWorkflowTest/workflows/pkgdown/badge.svg)](https://github.com/gadenbuie/pkgDocsWorkflowTest/actions/runs/2183678548)
gadenbuie,podcasts,gadenbuie/podcasts,1,2,0,0,FALSE,https://github.com/gadenbuie/podcasts,1,NA,NA,NA
gadenbuie,r-colors-css,gadenbuie/r-colors-css,8,2,0,3,FALSE,https://github.com/gadenbuie/r-colors-css,8,NA,NA,NA
gadenbuie,regexplain,gadenbuie/regexplain,468,18,2,24,FALSE,https://github.com/gadenbuie/regexplain,468,NA,NA,NA
gadenbuie,renv-wrong-remote-ref,gadenbuie/renv-wrong-remote-ref,0,2,0,0,FALSE,https://github.com/gadenbuie/renv-wrong-remote-ref,0,NA,NA,NA
gadenbuie,repromonkey,gadenbuie/repromonkey,12,2,4,0,FALSE,https://github.com/gadenbuie/repromonkey,12,NA,NA,NA
gadenbuie,resume,gadenbuie/resume,1,2,3,0,FALSE,https://github.com/gadenbuie/resume,1,NA,NA,NA
gadenbuie,rocker-verse-metaflow,gadenbuie/rocker-verse-metaflow,2,2,0,0,FALSE,https://github.com/gadenbuie/rocker-verse-metaflow,2,NA,NA,NA
gadenbuie,rsconf_tweets,gadenbuie/rsconf_tweets,30,4,0,13,FALSE,https://github.com/gadenbuie/rsconf_tweets,30,NA,NA,NA
gadenbuie,rsprefs,gadenbuie/rsprefs,7,3,0,0,FALSE,https://github.com/gadenbuie/rsprefs,7,5b31dc9a7a6ddbe7fc80ecf04c6ef239b419f61c,Update rstudio prefs,[![](https://github.com/gadenbuie/rsprefs/workflows/R-CMD-check/badge.svg)](https://github.com/gadenbuie/rsprefs/actions/runs/2657796218) [![](https://github.com/gadenbuie/rsprefs/workflows/pkgdown/badge.svg)](https://github.com/gadenbuie/rsprefs/actions/runs/2657796217)
